,_id,_rev,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,filter_level,lang,timestamp_ms
id,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,174342442,,,,,1421214019629637632,False,0,0,0,0,,False,False,low,es,1627688937800
id_str,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,174342442,,,,,1421214019629637632,False,0,0,0,0,,False,False,low,es,1627688937800
name,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,Santiago Ortega,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
screen_name,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,SEOPrensa,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
location,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,"Buenos Aires, ARG",,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
url,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,https://www.youtube.com/c/UcUTV/videos?disable_polymer=true&itct=CBQQ8JMBGAEiEwjn97a_isjvAhVMwZwKHQr,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
description,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,"Periodista/Productor: #UcUTV (sábados 11hs TyC); #UcURadio (lunes a viernes 12hs), #UcUMusica en @3x3ucu, @EmboCASLA y @LatampodcastUCU (todo por UCU Web Radio)",,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
translator_type,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,none,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
protected,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
verified,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
followers_count,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,3932,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
friends_count,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,4854,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
listed_count,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,45,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
favourites_count,1421256533028057090,1-96cc43d3c1806a788e628bd5dd13077a,Fri Jul 30 23:48:57 +0000 2021,1421256533028057090,1421256533028057090,"RT @GIGANTESbasket: Esta madrugada arranca la última jornada

Irán - Francia (3:00h)
Italia - Nigeria (6:40h)
Australia - Alemania (10:20h)…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,28633,,,,,,False,0,0,0,0,,False,False,low,es,1627688937800
